sent0,sent1,hard_neg
The winds are strong enough from keeping it from falling back to earth. This pattern of rising and falling continues.,A person has enough motivation and perseverance to keep going. This pattern of perseverance and progress continues.,You insert a coin into a vending machine. You turn the knob to receive the item.
The winds are strong enough from keeping it from falling back to earth. This pattern of rising and falling continues.,A person has enough motivation and perseverance to keep going. This pattern of perseverance and progress continues.,"A person is buried beneath piles of work. More and more tasks are added, burying the person even further."
The winds are strong enough from keeping it from falling back to earth. This pattern of rising and falling continues.,A person has enough motivation and perseverance to keep going. This pattern of perseverance and progress continues.,This pattern of rising and falling continues. The hail becomes too large to be pushed up by the wind.
The sailboat is built to navigate the water with the sail open. It is propelled by the wind and cuts through the waves.,The tank is engineered to be used in war. It traverses the battlefield with its large treads.,The mast is attached and secured. The sail is ready to be hoisted and set.
The sailboat is built to navigate the water with the sail open. It is propelled by the wind and cuts through the waves.,The tank is engineered to be used in war. It traverses the battlefield with its large treads.,Playing sport can lead to injury. Players must practice caution to avoid risk.
The sailboat is built to navigate the water with the sail open. It is propelled by the wind and cuts through the waves.,The tank is engineered to be used in war. It traverses the battlefield with its large treads.,"The beautiful sailboat glided through the water, propelled only by the wind. The sun shimmered off the sails as the boat moved steadily across the waves."
The brain integrates signals from nerves. Consciousness arises from these signals.,Hardware requires an operating system. The CPU powers the device.,The farmer loaded his truck with grain from the silo. It was the last bit of their harvest and he was satisfied.
The brain integrates signals from nerves. Consciousness arises from these signals.,Hardware requires an operating system. The CPU powers the device.,"The troops marched to the battleground, ready to take down their enemies. Winning the war was their only chance of survival."
The brain integrates signals from nerves. Consciousness arises from these signals.,Hardware requires an operating system. The CPU powers the device.,"The mind is composed of the brain and its neurons. Together, they store memories and regulate cognitive functions."
The judge made a sentence for the crime. The convicted person was to face the consequences.,The doctor made a diagnosis of the beast. The treatment plan was set in motion.,"The thing was broken, but it was able to be repaired. The damage was gradually restored."
The judge made a sentence for the crime. The convicted person was to face the consequences.,The doctor made a diagnosis of the beast. The treatment plan was set in motion.,Ornaments are used to adorn the room. The decorations make the living space beautiful.
The judge made a sentence for the crime. The convicted person was to face the consequences.,The doctor made a diagnosis of the beast. The treatment plan was set in motion.,"A judge in 1931 handed down a punitive sentence, reflecting the times and their legal implications. The sentence served as a reminder of justice and consequences."
The material is melted together. New products are created from the recyclable materials.,Ideas and thoughts are blended together. New solutions are created from the combined elements.,The books are arranged on the shelf. The library is filled with knowledge.
The material is melted together. New products are created from the recyclable materials.,Ideas and thoughts are blended together. New solutions are created from the combined elements.,Plates collide. A plate folds.
The material is melted together. New products are created from the recyclable materials.,Ideas and thoughts are blended together. New solutions are created from the combined elements.,The materials are shredded. The shredded materials are compounded.
"He finally finished the epilogue of his book, a satisfactory ending to years of hard work and dedication.","As the crowd rose to their feet, the orchestra finished the finale of the symphony, a beautiful climax to the night's performance.",A person's income can be affected by many factors. A unexpected loss of income can cause financial hardship.
"He finally finished the epilogue of his book, a satisfactory ending to years of hard work and dedication.","As the crowd rose to their feet, the orchestra finished the finale of the symphony, a beautiful climax to the night's performance.","The witch mixed a potion from the butterfly's wings. Instantly, the room shimmered with light and energy."
"He finally finished the epilogue of his book, a satisfactory ending to years of hard work and dedication.","As the crowd rose to their feet, the orchestra finished the finale of the symphony, a beautiful climax to the night's performance.","She took the time to meditate on her goal, believing that doing so would enable her to achieve it. Her hard work paid off in the end."
Adjusting and evolving through changing conditions leads to natural adaptation.,Meeting certain standards of uniformity results in artificial conformance.,Negotiations between nations reach a dead-end. The political situation intensifies into a crisis.
Adjusting and evolving through changing conditions leads to natural adaptation.,Meeting certain standards of uniformity results in artificial conformance.,He enjoyed playing soccer and swimming in his spare moments. He made sure to make the most of each day.
Adjusting and evolving through changing conditions leads to natural adaptation.,Meeting certain standards of uniformity results in artificial conformance.,"Natural selection is a process of adaptation that favors certain traits. It shapes organisms to be suited to their current environments, making them more likely to survive."
The outbreak is a precursor to devastation. It leads to widespread destruction.,The sudden spending spree causes an economic depletion. It leads to escalating levels of poverty.,He was appalled to see what had happened. He was dismayed by the destruction.
The outbreak is a precursor to devastation. It leads to widespread destruction.,The sudden spending spree causes an economic depletion. It leads to escalating levels of poverty.,He wasn't sure if he wanted to work or play. But he eventually concluded that he needed to focus on his assignments.
The outbreak is a precursor to devastation. It leads to widespread destruction.,The sudden spending spree causes an economic depletion. It leads to escalating levels of poverty.,The yacht is a luxurious boat. It's elegance sets it apart from any other vessel.
People celebrate after a successful event. Individuals are proud of their accomplishments.,The audience applauds after each act. The actors feel rewarded for their work.,A vehicle takes you away. The vehicle helps you transport.
People celebrate after a successful event. Individuals are proud of their accomplishments.,The audience applauds after each act. The actors feel rewarded for their work.,"Individuals from all walks of life gather at the event. Through shared experiences, mutual understanding is exchanged between the people."
People celebrate after a successful event. Individuals are proud of their accomplishments.,The audience applauds after each act. The actors feel rewarded for their work.,The worker suffered a serious injury. Immediate attention was necessary to avoid further complications.
He was so excited to purchase his first computer and can't wait to set it up in his house. He had big plans to explore its endless capabilities.,"The bride was glowing as she walked down the aisle, ready to wed the man she loved. She eagerly awaited their life together.",A computer is essential for success in school. The computer helps organize information.
He was so excited to purchase his first computer and can't wait to set it up in his house. He had big plans to explore its endless capabilities.,"The bride was glowing as she walked down the aisle, ready to wed the man she loved. She eagerly awaited their life together.",She couldn't help but window shop even though she didn't have enough money. Annika looked at the prices in lustful admiration.
He was so excited to purchase his first computer and can't wait to set it up in his house. He had big plans to explore its endless capabilities.,"The bride was glowing as she walked down the aisle, ready to wed the man she loved. She eagerly awaited their life together.",The tip of a needle is sharp. The needle grows narrower at the point.
Scoop the coffee into the filter. Set the machine to make a half or full pot.,Gather the ingredients for a cake recipe. Adjust the oven temperature for a small or large cake.,A person's emotions become intense and fiery. Their emotions burst out and become more controlled and solidified as they are expressed outwardly.
Scoop the coffee into the filter. Set the machine to make a half or full pot.,Gather the ingredients for a cake recipe. Adjust the oven temperature for a small or large cake.,Put into a backpack. Supplies are added to the pockets.
Scoop the coffee into the filter. Set the machine to make a half or full pot.,Gather the ingredients for a cake recipe. Adjust the oven temperature for a small or large cake.,Add water to the coffee machine. Use a coffee filter in the machine.
"The forest is a cluster of trees. Each tree is unique, with its own shape and size.","The earth is a complex of atmosphere, lithosphere, hydrosphere, and biosphere. All of these components interact to form a unique environment.","Playing a sport is fun. Participants have the opportunity to move, engage, and interact with others."
"The forest is a cluster of trees. Each tree is unique, with its own shape and size.","The earth is a complex of atmosphere, lithosphere, hydrosphere, and biosphere. All of these components interact to form a unique environment.",The sailor prepared to sail the seas. She was ready to discover new lands on the planet Earth.
"The forest is a cluster of trees. Each tree is unique, with its own shape and size.","The earth is a complex of atmosphere, lithosphere, hydrosphere, and biosphere. All of these components interact to form a unique environment.",The leaves on the tree have fallen. The tree's structure is altered.
Pick out your favorite clothes. Organize your toiletries.,Choose the food you want to eat. Arrange the dishes on the table.,Salt dissolves in water. Bacteria reacts with organic matter.
Pick out your favorite clothes. Organize your toiletries.,Choose the food you want to eat. Arrange the dishes on the table.,Make sure you have plenty of toiletries. Get all the sunblock needed.
Pick out your favorite clothes. Organize your toiletries.,Choose the food you want to eat. Arrange the dishes on the table.,The earth can shake. Depending on the size and location of the plates.
I tossed the frisbee into the air and ran to catch it. It felt like childhood all over again.,I kneeled down beside my bed and began to pray. It was a ritual I kept up each night before bed.,The cat pounces on the tiny mouse. Its sharp teeth sink into the prey's fur.
I tossed the frisbee into the air and ran to catch it. It felt like childhood all over again.,I kneeled down beside my bed and began to pray. It was a ritual I kept up each night before bed.,The towel bar was securely fastened to the wall. The user then hung the towel on the bar without worry of it falling off.
I tossed the frisbee into the air and ran to catch it. It felt like childhood all over again.,I kneeled down beside my bed and began to pray. It was a ritual I kept up each night before bed.,You play frisbee by catching the frisbee as it moves through the air. This enables you to enjoy playing frisbee with your friends.
"After careful consideration, the team retracted their initial claim, ultimately winning the argument.",The troops retreated with honor after a long-fought victory.,It's difficult to defend a claim when others try to criticize it. The arguments become divided and hard to connect.
"After careful consideration, the team retracted their initial claim, ultimately winning the argument.",The troops retreated with honor after a long-fought victory.,The sword is a deadly weapon. It can even the odds when used skilfully.
