sent0,sent1,hard_neg
The winds are strong enough from keeping it from falling back to earth. This pattern of rising and falling continues.,A person has enough motivation and perseverance to keep going. This pattern of perseverance and progress continues.,This pattern of rising and falling continues. The hail becomes too large to be pushed up by the wind.
The sailboat is built to navigate the water with the sail open. It is propelled by the wind and cuts through the waves.,The tank is engineered to be used in war. It traverses the battlefield with its large treads.,"The beautiful sailboat glided through the water, propelled only by the wind. The sun shimmered off the sails as the boat moved steadily across the waves."
The brain integrates signals from nerves. Consciousness arises from these signals.,Hardware requires an operating system. The CPU powers the device.,"The mind is composed of the brain and its neurons. Together, they store memories and regulate cognitive functions."
The judge made a sentence for the crime. The convicted person was to face the consequences.,The doctor made a diagnosis of the beast. The treatment plan was set in motion.,"A judge in 1931 handed down a punitive sentence, reflecting the times and their legal implications. The sentence served as a reminder of justice and consequences."
The material is melted together. New products are created from the recyclable materials.,Ideas and thoughts are blended together. New solutions are created from the combined elements.,The materials are shredded. The shredded materials are compounded.
"He finally finished the epilogue of his book, a satisfactory ending to years of hard work and dedication.","As the crowd rose to their feet, the orchestra finished the finale of the symphony, a beautiful climax to the night's performance.","She took the time to meditate on her goal, believing that doing so would enable her to achieve it. Her hard work paid off in the end."
Adjusting and evolving through changing conditions leads to natural adaptation.,Meeting certain standards of uniformity results in artificial conformance.,"Natural selection is a process of adaptation that favors certain traits. It shapes organisms to be suited to their current environments, making them more likely to survive."
The outbreak is a precursor to devastation. It leads to widespread destruction.,The sudden spending spree causes an economic depletion. It leads to escalating levels of poverty.,He was appalled to see what had happened. He was dismayed by the destruction.
People celebrate after a successful event. Individuals are proud of their accomplishments.,The audience applauds after each act. The actors feel rewarded for their work.,"Individuals from all walks of life gather at the event. Through shared experiences, mutual understanding is exchanged between the people."
He was so excited to purchase his first computer and can't wait to set it up in his house. He had big plans to explore its endless capabilities.,"The bride was glowing as she walked down the aisle, ready to wed the man she loved. She eagerly awaited their life together.",A computer is essential for success in school. The computer helps organize information.
Scoop the coffee into the filter. Set the machine to make a half or full pot.,Gather the ingredients for a cake recipe. Adjust the oven temperature for a small or large cake.,Add water to the coffee machine. Use a coffee filter in the machine.
"The forest is a cluster of trees. Each tree is unique, with its own shape and size.","The earth is a complex of atmosphere, lithosphere, hydrosphere, and biosphere. All of these components interact to form a unique environment.",The leaves on the tree have fallen. The tree's structure is altered.
Pick out your favorite clothes. Organize your toiletries.,Choose the food you want to eat. Arrange the dishes on the table.,Make sure you have plenty of toiletries. Get all the sunblock needed.
